ID,Arabidopsis,Wheat
fgenesh2_kg.8__2005__AT5G60410.5,0.9173076923076942,0.4762886597938108
Al_scaffold_0005_1290,0.6777149321267004,0.45526918671248184
KXG21178,0.4437782805429823,0.6852233676975953
KN539825.1_FGP005,0.44496606334841227,0.6975372279496018
OPUNC05G02000.1,0.4583710407239778,0.7260022909507463
ONIVA10G12200.1,0.45639140271492806,0.7238831615120288
ORGLA05G0017700.1,0.458314479638005,0.7430698739977097
AT5G60410.2,0.9700791855203632,0.47583046964489895
OB05G11800.1,0.4541855203619867,0.7146048109965635
TraesCS1A02G065700.2,0.45571266968325397,1.0
LPERR05G01630.1,0.45780542986424944,0.7214776632302412
OBART05G01770.1,0.45475113122171534,0.7160366552119144
ORUFI05G01890.1,0.45797511312216793,0.7229667812142053
g10908.t1,0.9053733031674223,0.4777205040091603
TRIDC1AG009060.4,0.45571266968325397,0.9965635738831615
AET1Gv20164000.8,0.455712669683254,0.9533791523482252
g29884.t1,0.6832579185520401,0.452691867124853
TRIDC1BG011220.3,0.4587104072398151,0.9677548682703323
YDR409W,0.01860859728506777,0.023596792668957575
YOR156C,0.045305429864254565,0.028923253150056828
TRITD1Bv1G024650.21,0.4535633484162857,0.9564146620847653
TRITD1Av1G021570.15,0.45571266968325397,0.9965635738831615
Aco021301.1.mrna1,0.4402714932126651,0.5270904925544067
TVU18110,0.45373303167420387,0.7052119129438724
TKW24358,0.4376131221719415,0.7095074455899212
Zm00001eb265410_P004,0.44066742081447535,0.6609392898052706
Zm00001eb355110_P001,0.4520927601809915,0.6852806414662103
HORVU.MOREX.r3.1HG0014340.1,0.4570701357466025,0.9709621993127149
SECCE1Rv1G0010090.1,0.4562782805429825,0.9611111111111114
TuG1812G0100000814.01.T09,0.45203619909501874,0.9835051546391753
Sspon.07G0014490-1A-mRNA-1,0.3579751131221676,0.5370561282932391
Sspon.07G0026940-1B-mRNA-1:cds,0.27522624434388837,0.4317869415807543
Sspon.07G0014450-4D-mRNA-1:cds,0.2801470588235261,0.41460481099656155
Dexi3A01G0009730.1:cds,0.2916289592760146,0.458075601374568
scaffold242.160.cds,0.4416855203619869,0.7008591065292119
scaffold40.478.cds,0.44920814479637594,0.6988545246277225
scaffold513.18.cds,0.4048642533936608,0.6134020618556743
scaffold13.180.cds,0.44762443438913635,0.6889461626575055
cds.KYUSt_contig_824.52,0.41125565610859344,0.7482245131729698
AVESA.00010b.r2.1DG0145270.1.CDS,0.45825791855203235,0.8462772050400934
cds.AVESA.00001b.r3.1Dg0002493.20,0.4542986425339329,0.8384306987399789
AVESA.00010b.r2.3DG0566370.1.CDS,0.45854072398189666,0.8444444444444458
AVESA.00010b.r2.7AG1191560.1.CDS,0.4572398190045211,0.8460481099656375
cds.AVESA.00001b.r3.3Dg0002545.2,0.4589366515837066,0.8466208476517769
cds.AVESA.00001b.r3.7Ag0000203.17,0.4578054298642493,0.8443298969072179
Os05t0125000-01,0.4591628959275978,0.7389461626575036
Et_9A_061742.CDS,0.4450226244343846,0.688717067583047
Et_9B_064416.CDS,0.44920814479637583,0.6896334478808702
OIT36160,0.47036199095022285,0.43367697594501403
OIT22109,0.5376696832579154,0.4884879725085874
OIT20895,0.2124999999999945,0.19994272623138098
KQK07854,0.45933257918551657,0.8122565864833928
KQL13150,0.4281674208144757,0.6652348224513202
TraesTSP1A01G079200.1,0.44507918552035813,0.9354524627720529
TraesTSP1B01G089800.1,0.4459841628959237,0.9130584192439888
TraesTSP1D01G078900.1,0.4547511312217155,0.9662657502863691
arahy.Tifrunner.gnm2.ann2.Ah03g023600.1-CDS,0.5551470588235266,0.48235967926689216
arahy.Tifrunner.gnm2.ann2.Ah08g173300.1-CDS,0.5430429864253361,0.4314432989690686
arahy.Tifrunner.gnm2.ann2.Ah13g042100.1-CDS,0.3400452488687732,0.3064146620847603
arahy.Tifrunner.gnm2.ann2.Ah18g052400.1-CDS,0.5428167420814447,0.4331615120274878
Tritim_EIv0.3_0016410.3.CDS,0.45446832579185126,0.9879725085910653
